epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1956.27,0.52585,0.95574,0.83835,0.97992,0.98001,0.99171,0.8347,0.69471,0.36991,0.84927,0.000194917,0.000194917,0.000194917
2,3813.29,0.41431,0.32753,0.79885,0.98761,0.98478,0.99406,0.84427,0.63799,0.319,0.8437,0.000371567,0.000371567,0.000371567
3,5712.63,0.41288,0.29619,0.7987,0.99659,0.9926,0.99489,0.89844,0.46618,0.2423,0.80865,0.000528812,0.000528812,0.000528812
4,7470.21,0.40989,0.29119,0.79672,0.99419,0.98925,0.9949,0.86368,0.6156,0.28622,0.82945,0.000500682,0.000500682,0.000500682
5,9264.2,0.37102,0.265,0.79233,0.99057,0.99556,0.99474,0.85384,0.61835,0.27238,0.83206,0.000471576,0.000471576,0.000471576
6,11121.9,0.36756,0.25619,0.79285,0.98691,0.99311,0.99273,0.86746,0.598,0.26613,0.8262,0.00044247,0.00044247,0.00044247
7,13036.2,0.35133,0.24438,0.79175,0.99144,0.99432,0.99348,0.86159,0.61559,0.26726,0.82715,0.000413364,0.000413364,0.000413364
8,17321.9,0.3479,0.23583,0.78815,0.99548,0.99648,0.99486,0.87586,0.57648,0.23855,0.82294,0.000384258,0.000384258,0.000384258
